e1,r,e2
7885,author_write_paper,8886
3642,author_write_paper,4745
4708,paper_in_venue,4119
9134,paper_in_domain,1655
13646,paper_in_domain,1158
11658,paper_cite_paper,12079
9260,paper_cite_paper,13328
5045,paper_in_venue,4109
13622,paper_in_domain,2689
7155,author_write_paper,10796
6954,paper_in_venue,4097
9813,paper_in_domain,3160
9420,paper_in_domain,550
7312,paper_in_domain,2795
12188,paper_in_domain,95
9906,paper_in_domain,1930
13125,paper_in_domain,2270
3015,paper_in_domain,364
9879,paper_in_domain,2973
6471,author_write_paper,7093
15865,author_write_paper,13588
12931,paper_in_domain,1655
10408,paper_cite_paper,12161
9567,paper_in_domain,104
11739,paper_in_domain,1227
15070,author_write_paper,9297
16161,author_write_paper,9877
11848,paper_cite_paper,4396
10431,paper_cite_paper,6438
8653,author_write_paper,10822
12884,paper_in_domain,2659
11612,paper_in_domain,2131
14293,paper_in_domain,584
6651,author_in_affiliation,4278
10427,author_write_paper,7782
4397,paper_in_domain,490
11015,paper_cite_paper,4448
9099,paper_in_domain,1407
7204,paper_in_domain,1019
935,author_write_paper,11107
1667,paper_cite_paper,7833
13406,paper_in_venue,4107
5575,paper_in_domain,3038
12910,paper_in_domain,2364
7543,paper_in_domain,974
11032,paper_in_venue,4088
7794,author_write_paper,8635
5245,paper_in_domain,466
7802,author_write_paper,4864
6419,paper_in_domain,1638
10707,author_in_affiliation,588
9869,paper_in_venue,4116
12868,author_in_affiliation,1082
4921,paper_in_domain,841
4930,author_in_affiliation,842
8873,paper_cite_paper,8372
5873,paper_in_domain,898
4677,paper_cite_paper,10339
6475,author_write_paper,7880
10314,paper_in_venue,4119
9830,paper_in_domain,1432
15253,author_write_paper,9026
11200,paper_cite_paper,6756
4284,author_in_affiliation,2019
12360,author_write_paper,8069
5513,paper_in_domain,1220
14961,author_write_paper,4603
12907,paper_cite_paper,14464
12498,paper_in_domain,2343
11875,paper_cite_paper,13076
16032,author_write_paper,14727
471,author_write_paper,4426
9918,paper_in_domain,3782
10993,author_write_paper,9159
7737,paper_in_domain,1951
2819,paper_in_venue,4124
12623,paper_in_venue,4088
7480,paper_in_domain,1951
6119,paper_in_domain,1036
11423,paper_in_domain,1639
6815,author_write_paper,10365
5706,author_write_paper,12452
11495,paper_in_venue,4107
9687,paper_in_domain,457
10120,paper_in_domain,203
13968,paper_cite_paper,10903
10333,paper_cite_paper,10714
10632,author_write_paper,14016
7984,paper_cite_paper,11586
5547,author_write_paper,13555
11084,paper_in_domain,599
11241,paper_cite_paper,5690
5433,paper_in_venue,4125
7125,author_write_paper,5862
11065,paper_cite_paper,8543
4921,paper_in_domain,387
8337,paper_cite_paper,14318
10190,paper_cite_paper,9053
9965,paper_in_domain,656
12072,paper_in_domain,2748
11876,paper_in_domain,717
10469,paper_in_domain,2584
13529,paper_in_domain,1190
5337,paper_in_domain,1564
13261,paper_in_venue,4126
9724,paper_cite_paper,14055
10656,author_write_paper,13880
4441,paper_in_venue,4119
450,author_write_paper,10763
2178,paper_in_venue,4119
12214,author_write_paper,11739
7260,paper_in_domain,1370
6674,paper_cite_paper,7916
14044,author_write_paper,4880
6133,paper_in_domain,2435
6296,paper_in_domain,1030
8213,paper_cite_paper,8618
5948,author_in_affiliation,2570
10484,author_write_paper,11306
14626,paper_in_domain,95
10224,author_write_paper,13625
3577,author_in_affiliation,2283
7163,paper_in_domain,3160
11716,paper_cite_paper,13576
14134,author_in_affiliation,1017
13255,paper_in_domain,1267
6629,author_write_paper,11505
11464,paper_cite_paper,9635
14087,paper_in_domain,829
11481,author_write_paper,4742
8105,paper_in_domain,235
3291,author_in_affiliation,3100
2420,author_write_paper,11826
8135,paper_in_domain,1935
9311,author_write_paper,6842
2738,paper_in_domain,2347
14820,paper_in_domain,656
6365,author_in_affiliation,4278
608,paper_in_venue,4109
12699,author_in_affiliation,2654
5751,author_write_paper,6891
14409,paper_in_venue,4124
5067,author_in_affiliation,3204
14048,paper_cite_paper,11517
13864,author_write_paper,10765
7302,author_write_paper,10347
15001,author_in_affiliation,2811
4344,paper_in_venue,4124
8752,paper_in_domain,2969
13334,paper_cite_paper,6229
9029,paper_in_domain,1190
5788,author_write_paper,8873
14466,author_write_paper,10859
6597,paper_in_domain,1160
6374,paper_in_domain,3118
12626,paper_in_venue,4088
13471,paper_in_domain,1863
6968,author_in_affiliation,4225
13661,author_write_paper,11276
5001,author_in_affiliation,2319
11435,paper_in_domain,1380
4858,paper_in_domain,2016
12752,paper_in_venue,4088
10091,paper_cite_paper,6098
4597,paper_in_domain,1909
13251,author_in_affiliation,1017
13836,paper_cite_paper,8985
9327,paper_cite_paper,8859
10716,paper_cite_paper,9995
8346,paper_cite_paper,11693
5898,author_write_paper,13877
11100,paper_cite_paper,8214
14249,author_write_paper,9516
5094,paper_in_domain,2969
14141,paper_in_domain,2566
5568,author_write_paper,7371
4519,paper_in_domain,1646
10032,paper_in_domain,2537
4799,paper_in_domain,2149
10768,paper_in_domain,824
10390,paper_in_domain,672
14374,paper_in_domain,664
14282,paper_in_domain,1478
9692,paper_in_venue,4101
14424,author_in_affiliation,2461
14748,paper_in_domain,2265
11251,author_in_affiliation,2646
5047,author_write_paper,9128
10449,author_in_affiliation,408
5894,paper_in_domain,2373
4893,paper_in_domain,994
10559,paper_cite_paper,7402
13090,paper_in_domain,2619
13139,author_write_paper,10750
4952,paper_in_domain,3739
8814,paper_in_venue,4109
11127,paper_in_domain,656
4118,author_write_paper,15283
10284,paper_in_domain,1003
8721,paper_in_domain,2599
7722,paper_in_venue,4108
13972,paper_cite_paper,13704
4857,paper_in_domain,52
9495,paper_in_domain,1370
4898,author_write_paper,4537
1912,paper_in_domain,438
7218,paper_cite_paper,10279
14280,paper_in_domain,69
12175,paper_cite_paper,8300
6305,paper_in_venue,4124
15190,author_write_paper,10195
3824,author_write_paper,10071
12163,author_write_paper,4893
10164,paper_in_domain,387
11747,paper_cite_paper,8017
3479,author_write_paper,11370
7221,author_write_paper,10518
13881,author_write_paper,6352
14155,paper_cite_paper,7539
4374,paper_in_domain,403
7390,author_in_affiliation,4225
5983,paper_in_venue,4116
9809,author_write_paper,11255
11379,paper_cite_paper,8482
6230,paper_in_domain,929
8913,paper_cite_paper,8280
5910,paper_in_domain,1899
13227,paper_in_venue,4123
7747,paper_in_domain,409
10024,author_in_affiliation,22
6370,author_write_paper,8947
14545,author_in_affiliation,1474
12845,author_write_paper,14661
13724,author_in_affiliation,1474
12886,author_write_paper,10099
6167,author_write_paper,4721
3795,author_write_paper,9766
7020,author_write_paper,13510
14106,paper_in_venue,4108
15509,author_in_affiliation,1723
15916,author_write_paper,7262
4677,paper_in_domain,73
10261,paper_in_venue,4123
11413,paper_in_venue,4093
13687,author_in_affiliation,2019
11057,paper_cite_paper,10037
14483,author_write_paper,4435
13714,author_write_paper,6271
14006,author_in_affiliation,1151
13435,paper_in_domain,2045
11747,paper_in_venue,4097
13437,paper_in_domain,1461
13881,author_in_affiliation,4264
10645,author_in_affiliation,1232
6906,paper_cite_paper,7563
9388,author_write_paper,14306
8074,paper_in_domain,3792
8612,author_write_paper,8511
16153,author_write_paper,13305
2935,author_in_affiliation,1456
5061,author_write_paper,5026
7551,author_in_affiliation,1277
7059,paper_in_venue,4106
10615,paper_in_domain,807
11373,paper_in_domain,656
13552,paper_in_domain,1026
1519,author_write_paper,9203
4840,paper_cite_paper,4748
9464,paper_cite_paper,5686
5609,paper_in_domain,3009
9009,paper_in_domain,1019
9816,paper_in_domain,1127
7472,paper_in_domain,1448
11617,author_write_paper,14407
11408,author_in_affiliation,1645
6678,author_write_paper,10027
6918,paper_in_domain,936
12910,paper_cite_paper,4726
12296,paper_in_venue,4109
4699,paper_in_domain,1030
9393,paper_in_domain,2415
3825,author_in_affiliation,2012
13094,author_write_paper,10877
12671,paper_in_domain,2055
4186,author_in_affiliation,91
3582,author_write_paper,9529
14670,author_in_affiliation,2319
4472,paper_in_domain,1809
8446,paper_in_venue,4113
4196,author_write_paper,7940
11878,paper_cite_paper,7965
8278,author_write_paper,14269
2384,author_in_affiliation,68
10134,paper_in_domain,2733
8334,paper_in_domain,1783
5871,paper_in_domain,1910
13772,paper_cite_paper,10002
11034,paper_cite_paper,10840
11777,paper_in_domain,177
5936,author_write_paper,12301
14821,paper_in_venue,4101
11240,author_write_paper,10905
11934,paper_cite_paper,10844
4381,paper_in_venue,4134
8295,paper_in_domain,974
12356,author_in_affiliation,982
8244,paper_cite_paper,7707
7989,author_in_affiliation,1099
14844,paper_cite_paper,12254
7934,paper_in_domain,1600
5521,paper_in_domain,1655
9798,author_write_paper,9973
9821,paper_cite_paper,9969
9050,paper_in_domain,2650
10056,paper_in_venue,4106
10230,paper_in_domain,807
12338,paper_in_domain,2478
9014,paper_in_venue,4126
3903,author_write_paper,4460
14902,author_write_paper,13588
11681,paper_cite_paper,9505
13061,paper_in_domain,1856
5640,author_in_affiliation,16354
10993,author_write_paper,4955
12886,author_write_paper,12243
3294,author_in_affiliation,1874
9603,paper_in_domain,177
10993,author_write_paper,9944
5058,author_in_affiliation,4264
13477,paper_in_domain,377
13600,paper_in_domain,2425
13192,paper_in_venue,4093
5214,paper_in_venue,4109
5571,paper_cite_paper,4445
13040,paper_cite_paper,4790
6201,paper_in_venue,4108
3509,author_write_paper,13163
4861,paper_cite_paper,4434
11045,paper_cite_paper,12161
13755,paper_in_domain,1742
12294,paper_in_domain,13
11890,paper_in_domain,389
5217,paper_in_domain,2440
11884,paper_cite_paper,12056
14632,author_write_paper,9312
13802,paper_in_venue,4093
4782,paper_in_domain,2683
9377,paper_cite_paper,9944
8322,author_write_paper,11672
5337,paper_in_domain,334
5239,paper_in_domain,2955
7437,author_write_paper,6979
9157,paper_in_venue,4088
9663,paper_in_domain,540
6509,author_write_paper,8372
6246,paper_in_venue,4109
6738,author_write_paper,7792
4454,paper_in_domain,2714
2934,author_write_paper,13518
11521,paper_cite_paper,12484
6542,author_in_affiliation,2409
9374,paper_in_domain,1935
11431,author_write_paper,11530
14851,paper_in_domain,584
3998,author_write_paper,6343
9039,paper_cite_paper,11566
11523,paper_in_domain,657
14800,paper_cite_paper,3042
14767,paper_in_domain,2962
12846,paper_in_domain,824
3811,author_write_paper,2493
8178,paper_in_domain,1909
2676,author_write_paper,7622
9572,author_in_affiliation,2534
6999,paper_in_domain,656
9141,author_in_affiliation,4225
12584,author_in_affiliation,4264
5379,author_in_affiliation,1474
4630,paper_in_domain,1856
3468,author_write_paper,11079
8543,paper_cite_paper,6510
16191,paper_in_domain,1375
6766,paper_in_venue,4124
13035,paper_in_domain,3778
6214,author_write_paper,4929
7257,paper_cite_paper,7535
12708,paper_in_domain,1646
8776,author_write_paper,4863
14533,paper_in_domain,508
7901,author_write_paper,13669
8550,paper_in_domain,2087
8684,author_in_affiliation,1474
7202,author_write_paper,4458
8569,paper_in_domain,1119
12349,paper_in_domain,1187
7518,paper_in_domain,203
5729,author_write_paper,10933
3952,author_write_paper,11241
8218,paper_in_domain,3770
11927,paper_in_venue,4125
8813,paper_in_domain,656
11532,paper_cite_paper,14071
15061,author_in_affiliation,3043
11880,paper_in_domain,452
15814,author_write_paper,13774
7578,paper_in_domain,1949
8447,author_write_paper,8309
12188,paper_cite_paper,14778
14344,paper_in_venue,4116
11879,paper_cite_paper,5974
12747,author_in_affiliation,2858
13077,paper_cite_paper,11254
16277,author_write_paper,2213
13607,paper_cite_paper,12700
4846,paper_cite_paper,4860
491,author_write_paper,14374
12156,paper_in_domain,2623
868,paper_in_domain,389
6490,author_in_affiliation,1831
7851,author_in_affiliation,2811
12754,paper_in_domain,1019
7316,paper_cite_paper,4376
12029,paper_in_domain,994
7628,author_write_paper,11090
15526,author_write_paper,6961
5495,author_in_affiliation,2758
14254,paper_cite_paper,7288
12597,paper_in_domain,3160
9176,paper_in_domain,3096
12012,author_write_paper,2742
8477,author_write_paper,13980
7703,paper_in_domain,1742
4451,paper_cite_paper,5546
10513,paper_in_domain,508
7130,paper_cite_paper,11615
6306,paper_in_domain,2371
7300,paper_in_domain,1063
8517,author_in_affiliation,1279
10706,paper_in_domain,656
10349,paper_cite_paper,11602
10504,author_in_affiliation,4278
14013,paper_in_venue,4126
689,author_in_affiliation,1185
5262,author_write_paper,8881
11782,paper_in_domain,672
4564,paper_in_domain,539
7704,paper_cite_paper,12401
9152,author_write_paper,608
6463,paper_in_domain,177
7172,author_in_affiliation,1474
4073,author_write_paper,13793
11379,paper_in_domain,2339
9614,paper_in_domain,1312
8919,paper_cite_paper,4703
11790,author_in_affiliation,4225
10193,author_in_affiliation,1151
15883,author_write_paper,6755
12090,paper_in_venue,4123
1294,paper_in_domain,73
6578,paper_in_domain,2435
8976,author_write_paper,11869
8179,paper_in_domain,500
9945,paper_in_domain,2617
7063,paper_in_domain,599
13182,paper_cite_paper,13549
10988,paper_in_domain,656
11766,author_write_paper,11509
4433,paper_in_domain,1030
7980,paper_in_domain,1259
5376,author_write_paper,9979
4679,paper_in_domain,539
5683,author_in_affiliation,75
12914,paper_in_domain,1755
11083,paper_in_domain,584
13843,paper_cite_paper,10032
12504,author_write_paper,10403
6128,author_write_paper,13406
4716,paper_cite_paper,14688
11168,paper_in_domain,717
15219,author_in_affiliation,98
3548,author_write_paper,9482
8322,author_write_paper,14470
5715,author_write_paper,6433
13435,paper_cite_paper,8271
6809,paper_cite_paper,6559
6060,paper_cite_paper,5406
9685,author_write_paper,5169
12213,paper_in_venue,4109
9201,paper_in_domain,1208
5311,paper_cite_paper,13943
11329,paper_in_venue,4107
12522,paper_in_domain,63
8858,paper_in_venue,4088
4211,author_write_paper,1768
15276,author_write_paper,5035
12269,paper_in_domain,2747
14344,paper_in_domain,1868
13773,paper_cite_paper,11587
8641,paper_in_venue,4109
12267,author_write_paper,5191
7603,paper_cite_paper,6131
14647,paper_in_domain,4
1624,paper_cite_paper,4659
9408,paper_in_domain,2747
12014,paper_cite_paper,9394
992,paper_in_venue,4132
9284,paper_in_domain,656
9957,paper_cite_paper,14720
9170,paper_in_domain,418
7904,author_write_paper,5505
14893,author_write_paper,13543
7995,paper_cite_paper,4354
16140,author_write_paper,10000
14656,paper_cite_paper,13104
5023,paper_cite_paper,5256
7806,paper_in_venue,4088
12042,author_write_paper,4937
4776,paper_cite_paper,4996
214,paper_cite_paper,4855
10272,author_write_paper,9027
12452,paper_in_domain,1856
2807,author_write_paper,5519
9235,paper_cite_paper,5561
7569,paper_cite_paper,13835
9474,author_in_affiliation,4266
7705,author_write_paper,12651
11788,paper_in_venue,4088
14065,author_in_affiliation,3043
12443,paper_in_venue,4101
13921,paper_in_domain,2542
5961,paper_in_domain,3774
11253,author_write_paper,14661
10738,author_write_paper,5341
15091,author_write_paper,4614
6249,author_write_paper,4714
8875,paper_in_domain,1119
8295,paper_in_domain,1935
15425,author_in_affiliation,4264
16267,author_write_paper,10243
11055,paper_cite_paper,7364
10011,paper_in_venue,4088
9902,author_write_paper,6649
9721,paper_in_domain,1030
13906,paper_cite_paper,9005
5438,paper_in_venue,4097
12492,paper_cite_paper,9160
12998,paper_in_domain,1104
1410,author_write_paper,5571
7839,paper_in_domain,2905
11316,paper_in_domain,2087
5415,paper_cite_paper,7806
13464,author_write_paper,6226
5174,paper_in_domain,1615
13681,author_in_affiliation,1556
10866,paper_in_domain,940
10093,paper_in_domain,730
11926,author_in_affiliation,639
4136,author_write_paper,4435
9900,paper_in_domain,1940
13119,author_write_paper,7450
13575,author_in_affiliation,1081
7743,author_in_affiliation,2048
9328,paper_in_domain,407
9759,paper_in_domain,3040
5644,paper_in_domain,584
5687,paper_cite_paper,12710
9854,author_in_affiliation,2012
9310,paper_in_domain,1929
3331,author_write_paper,8204
11321,author_write_paper,4974
10839,author_in_affiliation,4223
10727,paper_in_domain,293
12415,author_write_paper,6583
9377,paper_in_domain,1755
8029,paper_in_domain,1546
6060,paper_in_domain,1639
5304,author_write_paper,9057
12821,paper_in_domain,1384
1824,author_write_paper,8407
7760,author_write_paper,6987
6847,author_in_affiliation,1495
11071,paper_in_venue,4119
9653,author_in_affiliation,1151
3803,author_write_paper,7737
5127,paper_in_venue,4107
2674,author_write_paper,13049
9033,paper_in_domain,696
8321,paper_in_domain,407
2480,paper_cite_paper,4499
7726,paper_in_domain,3749
4648,author_write_paper,12291
7528,author_write_paper,5172
7293,paper_in_domain,1976
8815,paper_in_domain,824
5067,author_write_paper,13927
5486,author_write_paper,2655
5208,author_in_affiliation,1531
9057,paper_in_domain,1009
5560,paper_in_domain,1977
15476,author_in_affiliation,816
4133,author_in_affiliation,22
11573,author_write_paper,14010
12597,paper_cite_paper,14318
5785,author_in_affiliation,1474
9689,author_write_paper,10715
7819,paper_cite_paper,11939
10224,author_in_affiliation,2357
14807,paper_cite_paper,14318
9779,paper_in_domain,656
5080,author_write_paper,6593
11511,author_in_affiliation,2461
12527,paper_in_domain,1795
6845,author_in_affiliation,2292
5546,paper_cite_paper,8041
9362,paper_in_venue,4088
12600,author_in_affiliation,2230
11817,paper_cite_paper,10531
5141,author_write_paper,11904
6396,paper_in_domain,2322
9108,paper_cite_paper,8913
391,paper_in_domain,1744
8397,author_in_affiliation,2776
9073,author_in_affiliation,210
12200,paper_in_venue,4109
13802,paper_cite_paper,5337
16233,author_write_paper,14120
3257,author_in_affiliation,1456
6488,paper_cite_paper,5296
8740,author_in_affiliation,2012
5110,author_write_paper,13636
7565,paper_cite_paper,7352
13655,paper_in_domain,2650
13242,paper_cite_paper,10903
13553,author_write_paper,14130
10159,paper_in_domain,980
9100,paper_in_domain,59
2405,author_in_affiliation,1210
10848,author_write_paper,9147
14798,author_write_paper,12061
13514,paper_in_venue,4116
8804,paper_cite_paper,4450
3558,author_write_paper,14042
13042,author_write_paper,1640
10518,paper_in_domain,508
5776,paper_in_domain,1370
12893,paper_in_venue,4123
13992,paper_in_domain,1286
6491,paper_in_domain,1884
11861,paper_in_domain,951
391,paper_in_venue,4124
14087,paper_in_domain,2280
13525,paper_in_venue,4088
11081,author_write_paper,14478
10740,paper_in_domain,1302
13499,paper_in_domain,2309
16269,author_in_affiliation,3043
12511,paper_in_domain,675
12717,paper_in_domain,1509
11539,paper_cite_paper,13477
5650,paper_in_venue,4097
6575,paper_in_venue,4109
11100,paper_in_venue,4119
5738,author_in_affiliation,2754
14711,paper_cite_paper,12320
9259,paper_in_venue,4123
6184,author_write_paper,5521
13383,paper_in_domain,1987
14301,paper_in_domain,1716
12848,author_in_affiliation,2409
11928,paper_in_domain,656
7016,paper_in_domain,2734
2443,author_write_paper,4967
12452,paper_cite_paper,8280
13730,author_write_paper,10159
8228,paper_in_domain,1804
4561,paper_in_domain,672
12090,paper_in_domain,2512
14683,paper_in_domain,317
4599,paper_in_domain,1478
5609,paper_in_domain,119
9474,author_write_paper,13584
14406,paper_in_domain,1549
14008,paper_cite_paper,4686
12990,paper_in_domain,1706
7932,paper_in_domain,2476
8266,author_write_paper,9160
4530,paper_in_venue,4124
10085,paper_in_domain,413
11962,author_write_paper,8738
9897,paper_cite_paper,13739
9739,paper_in_domain,897
13852,paper_cite_paper,7598
6614,author_write_paper,12220
11446,author_write_paper,6434
14865,author_in_affiliation,1232
4549,paper_cite_paper,9905
10285,paper_cite_paper,7239
13043,paper_cite_paper,4874
11505,paper_cite_paper,8847
7233,author_in_affiliation,3043
11300,author_in_affiliation,1474
13506,paper_in_domain,2314
4415,paper_in_domain,1911
7695,author_write_paper,13632
7349,paper_cite_paper,9900
9754,paper_in_domain,1646
10138,paper_in_domain,752
13709,paper_in_venue,4088
11079,paper_cite_paper,12627
5362,paper_in_venue,4119
4763,paper_in_domain,1478
6984,paper_in_domain,659
12766,author_in_affiliation,121
15192,author_in_affiliation,4225
14347,author_write_paper,8350
16120,author_in_affiliation,982
10963,paper_cite_paper,7132
3839,author_write_paper,14098
6102,author_write_paper,6345
10221,paper_in_domain,1198
13148,author_write_paper,10333
4601,paper_cite_paper,7400
5088,author_write_paper,4970
9448,author_in_affiliation,4225
4190,author_write_paper,5435
7028,author_in_affiliation,68
8623,paper_cite_paper,13401
4418,paper_cite_paper,10594
5460,paper_cite_paper,7535
10349,paper_in_domain,2927
8940,paper_in_domain,2871
7631,paper_in_domain,1639
9861,paper_in_domain,1190
9922,paper_in_venue,4114
11962,author_write_paper,8465
5799,paper_in_domain,2997
6782,author_write_paper,6848
12476,author_write_paper,9890
6379,paper_in_domain,1131
13847,author_write_paper,6774
12471,paper_in_domain,1883
11957,author_in_affiliation,135
11411,author_write_paper,14889
15180,author_in_affiliation,2409
4380,paper_in_domain,2617
13583,author_write_paper,9607
13237,paper_in_domain,790
6170,paper_in_domain,3741
8878,paper_in_domain,1283
15175,author_in_affiliation,1763
3981,author_in_affiliation,2545
6604,paper_in_domain,1058
16076,author_write_paper,4624
4991,paper_in_domain,2228
14517,paper_in_domain,1706
7451,paper_in_venue,4097
8451,author_in_affiliation,2112
13739,paper_in_domain,915
13742,paper_in_domain,2763
11213,paper_in_domain,1107
3725,author_in_affiliation,1151
4601,paper_cite_paper,4566
10917,paper_in_domain,161
15354,author_write_paper,9509
2368,author_write_paper,9153
9371,paper_in_domain,1930
13144,paper_in_domain,803
863,author_in_affiliation,2012
4578,paper_in_domain,1856
7274,paper_cite_paper,14654
7688,author_write_paper,14655
2362,author_write_paper,10719
6961,paper_in_domain,1469
14182,paper_cite_paper,5832
4487,paper_in_domain,903
9506,paper_in_domain,1478
8959,author_write_paper,8840
5000,author_write_paper,9773
1563,author_write_paper,4332
6198,author_write_paper,14807
14722,paper_in_domain,1119
12842,author_write_paper,4558
10274,paper_in_domain,1448
11170,paper_in_venue,4088
13553,author_write_paper,13328
13576,paper_in_domain,1804
16336,author_write_paper,13113
13214,author_in_affiliation,2357
2403,author_in_affiliation,1151
13990,paper_in_domain,387
15012,author_in_affiliation,4223
11976,paper_in_domain,1400
4865,author_write_paper,10832
14214,paper_cite_paper,4554
7842,author_write_paper,9867
7561,paper_in_domain,1868
11761,paper_in_domain,89
10125,paper_in_domain,2055
8849,paper_cite_paper,5192
5362,paper_in_domain,2683
6489,paper_in_domain,2343
4574,paper_in_domain,1493
9296,author_write_paper,7362
6491,paper_in_domain,2110
6430,author_write_paper,6958
4880,paper_in_domain,919
6400,author_write_paper,13738
12127,author_write_paper,11566
6655,paper_in_venue,4097
8424,paper_cite_paper,1538
9553,paper_in_domain,76
13593,author_write_paper,1966
4014,author_write_paper,14651
3886,author_write_paper,10788
16022,author_write_paper,12222
8244,paper_cite_paper,11558
394,paper_cite_paper,14063
9933,paper_in_domain,1063
10413,author_in_affiliation,4278
13203,author_in_affiliation,1211
9055,paper_in_domain,1804
7022,author_write_paper,10850
3261,author_write_paper,11379
8596,author_write_paper,8648
6232,paper_in_domain,610
15694,author_write_paper,12213
12126,paper_in_domain,1078
8061,paper_in_domain,1893
7839,paper_in_domain,163
12302,paper_cite_paper,9005
5006,paper_in_venue,4117
3358,author_write_paper,10733
12534,author_write_paper,5460
5137,paper_cite_paper,4839
7070,author_write_paper,8929
11962,author_write_paper,9264
3227,author_in_affiliation,329
13490,paper_in_domain,1010
14443,paper_in_domain,1119
12133,author_in_affiliation,1232
8378,author_write_paper,13198
5503,author_write_paper,9652
4538,paper_in_domain,438
11364,paper_in_domain,3160
3636,author_in_affiliation,639
11328,author_write_paper,5454
9903,author_in_affiliation,4278
8194,author_write_paper,13980
